"row";"column";"S_Ka";"S_Kb";"Cl_K";"Ar_K";"Ti_K";"Cr_K";"Fe_K";"Scatter_Peak000";"Scatter_Compton000";"s(S_Ka)";"s(S_Kb)";"s(Cl_K)";"s(Ar_K)";"s(Ti_K)";"s(Cr_K)";"s(Fe_K)";"s(Scatter_Peak000)";"s(Scatter_Compton000)";"chisq"
0;57;1174.8;7.72072;6447.32;1693.27;0.50275;144.038;370.801;75427.6;136072;34.5641;26.3083;72.8295;38.9352;11.2752;16.5788;25.6466;282.215;345.65;7.55059
0;58;1154.04;201.361;6393.31;1746.35;33.9135;94.973;297.531;73436;135588;33.7046;26.0401;71.8228;39.3915;12.5676;15.4223;24.4306;278.745;344.315;7.66048
0;59;1084.62;5.65036;6364.95;1809.34;46.5542;92.4171;261.563;73776.4;134637;33.1885;26.7033;72.133;39.7315;12.9556;16.1269;24.3876;279.879;343.867;6.85883
0;60;1105.07;177.951;6383.16;1699.96;9.54493;85.1859;356.997;73710.2;134509;33.2871;26.3269;71.6754;38.5803;11.7328;14.5294;24.1924;279.008;343.169;7.56339
0;61;999.909;223.487;6254.2;1664.93;3.33423;63.8753;355.825;72642.1;133663;32.569;26.1459;71.2038;38.4629;11.2099;15.0179;24.7197;277.663;342.305;7.4602
0;62;1016.2;232.919;6387.99;1684.74;0.923465;74.5934;264.513;72030.5;133643;32.5738;25.8332;71.8107;38.7256;10.8672;14.8043;23.4014;276.703;342.107;7.14608
0;63;1009.1;6.22538;6152.65;1612.7;34.8151;77.8743;349.125;70880.6;134309;32.4372;26.2875;71.2636;38.0483;12.624;14.4002;24.4455;274.632;342.224;6.98402
0;64;953.711;161.317;6112.71;1585.52;14.3629;69.0964;288.267;70467.5;132343;31.8306;26.1868;70.3248;37.7669;11.83;14.7654;23.5509;274.05;340.194;7.03233
0;65;915.926;200.061;6370.82;1686.68;58.2423;61.9086;248.99;71234.9;132511;31.2111;26.0503;71.7179;38.4898;12.9931;14.4067;23.141;275.074;340.477;7.35787
0;66;941.368;160.154;6186.33;1671.69;22.3826;108.58;282.493;69714.8;131983;31.2923;26.0263;70.8916;38.2898;11.2661;15.6537;23.9275;272.863;339.577;7.32646
0;67;947.55;173.491;6112.51;1639.69;49.6621;66.5507;288.848;69396;132275;31.3958;25.8998;70.2623;38.1022;12.3689;14.6653;23.9087;272.202;339.705;7.00212
0;68;933.499;213.852;6194.3;1629.18;50.747;5.03374;222.198;68052.4;130647;30.5284;24.9089;70.388;37.7617;12.7303;13.5193;22.3489;269.658;337.371;7.3376
0;69;861.741;183.662;6160.09;1637.5;24.2178;57.2195;224.15;68220.9;130696;29.9996;25.6139;70.4694;37.9288;12.7031;14.6686;21.9495;270.195;337.68;6.62318
0;70;797.525;6.37407;5941.68;1545.73;46.399;91.7632;372.232;68191.1;129303;30.0973;24.8407;69.961;37.4062;12.3264;15.0377;24.0577;269.336;335.718;6.94653
0;71;886.167;227.598;6051.38;1528.94;12.4988;58.2781;253.682;67230.1;130158;30.5629;24.7913;69.8961;37.1133;10.8891;13.0359;22.6973;267.909;336.373;7.63156
0;72;781.157;144.724;5909.3;1554.86;19.987;108.601;312.723;66704.4;129210;29.077;25.919;69.1219;37.0899;12.4846;15.1006;23.2131;267.587;335.578;6.76532
0;73;806.612;226.91;5965.56;1405.28;14.6211;62.3898;215.585;66419.8;129390;29.6301;24.3153;69.3326;35.9516;11.8294;15.1053;21.6037;266.539;335.263;7.34148
0;74;707.144;151.184;5821.92;1552.58;29.7467;70.9399;314.674;64928.7;129771;28.2117;25.1712;68.5714;37.0394;12.0215;14.6987;23.5885;263.973;335.033;7.00496
0;75;745.011;234.147;5933.19;1417.75;12.4612;79.4198;258.627;65412.4;128627;28.569;23.9146;68.957;35.884;11.3004;14.6923;21.4358;264.891;334.166;7.4406
0;76;760.115;203.613;6007.87;1441.68;26.297;61.4926;252.041;64694.4;127752;28.7101;24.4684;69.3853;35.4892;12.4878;14.3133;22.2625;263.023;332.597;7.13213
